,Endothelia,Fibroblast,Lymphocyte,MP & DC,Mural cell,Neutrophil
ACAP2,0.0,0.0,0.0,1.0,0.0,0.0
APOD,0.0,1.0,0.0,0.0,0.0,0.0
PAK2,0.0,0.0,0.0,1.0,0.0,0.0
RPL35A,0.2,0.20129984617233276,0.3152011513710022,0.22985767126083373,0.20752133131027223,0.0
ATP5ME,0.0,0.6149696588516236,0.0,0.6,0.6748539805412292,0.0
LRPAP1,0.0,1.0,0.0,0.0,0.0,0.0
MRFAP1,0.0,1.0,0.0,0.0,0.0,0.0
HTRA3,0.0,1.0,0.0,0.0,0.0,0.0
WDR1,0.0,0.0,0.0,1.0,0.0,0.0
FGFBP2,0.0,0.0,1.0,0.0,0.0,0.0
SOD3,0.0,0.8,0.0,0.0,0.8443412065505982,0.0
RBPJ,0.0,0.0,0.0,1.0,0.0,0.0
RPL9,0.03673024177551269,0.03447211980819702,0.15187140703201293,0.09204529523849488,0.05889194011688233,0.0
SMIM14,0.0,1.0,0.0,0.0,0.0,0.0
SHISA3,0.0,1.0,0.0,0.0,0.0,0.0
OCIAD1,0.0,1.0,0.0,0.0,0.0,0.0
PDGFRA,0.0,1.0,0.0,0.0,0.0,0.0
HOPX,0.0,0.0,1.0,0.0,0.0,0.0
IGFBP7,0.0,0.8,0.0,0.0,0.8259745597839355,0.0
CXCL8,0.0,0.0,0.0,0.8,0.0,0.8454382300376893
CXCL3,0.0,0.0,0.0,1.0,0.0,0.0
CXCL2,0.0,0.0,0.0,1.0,0.0,0.0
CCNI,0.0,0.3416853308677673,0.2,0.24733930826187134,0.2729909777641296,0.27539595365524294
HNRNPD,0.0,0.0,0.0,1.0,0.0,0.0
HNRNPDL,0.0,0.4115145802497864,0.4813967704772949,0.4,0.4204501032829285,0.0
HSD17B11,0.0,0.0,0.0,1.0,0.0,0.0
SPARCL1,0.6,0.6031973600387573,0.0,0.0,0.6265082836151123,0.0
ADH1B,0.0,1.0,0.0,0.0,0.0,0.0
H2AZ1,0.0,0.0,0.7327717542648315,0.6975990653038024,0.6,0.0
EMCN,1.0,0.0,0.0,0.0,0.0,0.0
NFKB1,0.0,0.0,0.0,1.0,0.0,0.0
UBE2D3,0.0,0.4,0.45210579633712766,0.48218326568603515,0.0,0.5873822808265686
TET2,0.0,0.0,0.0,1.0,0.0,0.0
RPL34,0.015336692333221436,0.007242238521575928,0.1715209126472473,0.11710667610168457,0.0,0.018927490711212157
OSTC,0.0,1.0,0.0,0.0,0.0,0.0
ARLN,0.0,0.8239612340927124,0.0,0.8,0.0,0.0
ANXA5,0.0,0.7575395703315735,0.0,0.7068630695343018,0.6,0.0
SPRY1,0.0,1.0,0.0,0.0,0.0,0.0
