,ACKR1+ endothelium,B cells,CD36+ endothelium,Cycling,Doublets,Enterocytes,Enteroendocrines,Fibs,Glial cells,Goblets,ILC,Lymphatics,MNP,Mast cells,Paneth cells,Pericytes,Plasma cells,Progenitors,SM,T cells,TA
TRAPPC4,0.0,0.0,0.0,0.0,0.0,0.0,0.41957653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4256488,0.0,0.0,0.0,0.0,0.0
HSPA8,1.3039566,0.0,1.1451104,1.7364702,0.0,1.0861039,2.02,0.0,1.5181538,1.1157918,0.0,0.0,0.70521176,0.0,0.0,0.0,0.0,1.476753,0.0,1.4622478,1.7122338
ESAM,0.0,0.0,1.5063027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EI24,0.0,0.0,0.0,0.0,0.0,0.0,0.40428817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APLP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3822961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLF6,1.1299679,1.285677,1.1913383,1.0626187,1.6177292,1.8753859,1.4155407,0.0,2.790105,2.042927,2.1808624,2.5779104,1.9815406,2.0772471,0.0,1.5992758,0.78118753,1.8921814,0.58928424,2.64236,1.7573946
AKR1C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8790158,0.0,0.0,0.0
GDI2,0.0,0.0,0.0,0.9268288,0.0,0.0,1.1094298,0.0,0.0,0.0,0.0,0.0,0.900102,0.0,0.0,0.0,0.0,0.77483505,0.0,0.0,0.85398185
ATP5F1C,0.0,0.0,0.0,1.1927737,0.0,1.4867513,1.2466608,0.0,0.0,1.3069556,0.0,0.0,0.88621217,0.0,0.0,0.0,0.0,1.6540499,1.1583858,0.0,1.7115828
CELF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.017573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
